timestamp,event_type,state,orientation,body_span_ratio,mid_hip_x,lean_angle_deg,assessment_mode,source,details
2026-04-23 16:56:18,state_change,NO_PERSON,UNKNOWN,,,,False,system,
2026-04-23 16:56:18,state_change,TOO_CLOSE,FRONT,0.6396,0.7930,7.93,False,system,
